abstract,title,authors,session,all_keyword_ids,paper_id,session_name,stream,timeslot,track,stream_name,schedule,day,time,start_time,end_time,date,room,keywords,track_code
"There have been decades of research in the field of humanitarian logistics, and academics in the field of logistics are becoming more and more interested in it. That being said, we still acquire insight and identify new problems with each disaster. We have also observed various humanitarian logistics applications during COVID-19, e.g. for PCR test sites and vaccination centers. Unfortunately, the recent earthquake in Turkey has led us to re-evaluate the response cycle of disaster management. Close inspection reveals that this response phase actually leads to a variety of new applications of distribution logistics problems. We have conducted many meetings and workshops with municipalities that were very active during the response of the Maraş Earthquakes. Many municipalities aim to have “earthquake-resistant cities” with correct action plans and being ready for potential disasters. Based on our discussions with these municipalities, we have developed an “ideal action plan”. We also investigated the potential decision problems and linked these problems with OR literature.",Disaster Resilient Cities - An OR Approach to Disaster Management,[1379],37,"[65, 58]",3,Bahar Yetis Kara,62,14,01,Keynotes,"Wednesday, 12:30-14:00",W,C,12:30,14:00,2024-07-03,Sportshallen [building - 101],"['Logistics', 'Humanitarian Applications']",WC-01
"Content analysis reveals that in many markets in the State of Israel where regular payment is required for continuous service, usually monthly, a situation can be seen where the price of the service creeps up consistently and even though the consumer has an option to switch to another company, at the starting price he paid, he remains loyal to the company that increases its service consistently and continuously. The purpose of this paper is to provide a theoretical model according to which the company that raises its' price capitalize on the consumer loyalty. The subgame perfect equilibrium resulting from the model supports the empirical evident. According to the perfect equilibrium the firm initially offers loss prices, the consumer remains loyal to the firm and the prices in subsequent periods compensate for the loss in the first periods.",Cooperative solution to noncooperative game,"[36242, 75640]",185,"[50, 33, 25]",7,Experimental economics and game theory 1,73,13,40,Experimental economics and game theory,"Wednesday, 10:30-12:00",W,B,10:30,12:00,2024-07-03,96 [building - 306],"['Game Theory', 'Economic Modeling', 'Decision Analysis']",WB-40
"Many cities in the world have areas which can be called slums. Slums are areas where poor people live in poor circumstances. The houses are not comfortable or convenient. Often leaking roofs, no good sanitation; toilets and douches are missing, no proper cooking devices or electricity. Slums create a lot of trouble, for the inhabitants themself concerning safety and healthcare, but also for the whole city and for the country.
Changing slums is a complex societal problem, which should be handled according to the directions of the Compram methodology.
The Compram Methodology is a multidisciplinary approach for policy making on handling complex societal problems. These problems exceed the boundaries of a discipline. Therefore, a multidisciplinary approach is needed. In each complex societal problem there are elements of knowledge, power and emotion. All these elements should be addressed in the problem handling approach. 
The Compram methodology emphasizes the exchange of knowledge and understanding by communication among and between the experts, actors and politicians meanwhile keeping emotion in mind.
","An ethical complex societal problem, slums in developing countries.",[1254],77,"[15, 41, 139]",8,"Ethics and OR, societal complexity and public service",28,4,20,OR and Ethics,"Monday, 12:30-14:00",M,C,12:30,14:00,2024-07-01,45 [building - 116],"['Complex Societal Problems', 'Ethics', 'Sustainable Development']",MC-20
"This paper revises the two-commodity network flow modelling approach for the Capacitated Vehicle Routing Problem [CVRP] with identical vehicles. The flows of equally sized two commodities considered in this paper are organized in the opposite directions along the collection of routes assigned to vehicles. The resulting mathematical programming formulations allow to formulate a general, asymmetric CVRP [even with presence of Time Windows constraints] using n[n - 1]/2 binary variables, where n is the number of customers involved in the definition of CVRP, which is the number of binary variables typically required for the symmetric CVRP only. The commodity flow formulations of the problem is a very flexible tool for modeling the problem that allows for various enhancements. For example, the family of Generalized Large Multistar valid inequalities can be incorporated in a commodity flow-based formulation of the problem without
using a single extra constraint. In addition, the compact mathematical formulations of the problem are further improved using Rounded Capacity Inequalities at the root node. The computational study demonstrates that a wide range of problem instances from the literature can be solved to optimality [or suboptimality with relatively small optimality gaps] using a simple solution methodology that solely employs a standard mixed integer linear programming solver.",Two-Commodity Opposite Direction Network Flows for Vehicle Routing Problems,"[56731, 47904]",787,"[145, 72]",10,MILPs for Vehicle Routing 2,5,12,58,VeRoLog - Vehicle Routing and Logistics,"Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,S07 [building - 101],"['Vehicle Routing', 'Mathematical Programming']",WA-58
"This paper contributes towards developing an efficient algorithm, relying on the Alternating-Direction of Multipliers [ADMM], for solving scenario-based Model Predictive Control arising in multi-period portfolio optimization problems.

We enhance the standard two-set splitting algorithm of the ADMM method by including inequality constraints through a so-called embedded splitting without recourse to an additional splitting set. 

We derive an alteration of the termination criterion using the probabilities assigned to the scenarios and provide a convergence analysis.",Enhancing portfolio optimization - an ADMM approach with embedded splitting for scenario-based model predictive control,[75618],245,"[21, 82, 83]",12,Portfolio optimization and sustainability,53,2,08,AI & Innovation in Sustainable Finance,"Monday, 8:30-10:00",M,A,8:30,10:00,2024-07-01,1020 [building - 202],"['Convex Optimization', 'Optimal Control', 'Optimization in Financial Mathematics']",MA-08
"Companies have to use all their resources in an optimum way in order to be successful in a competitive environment. One of the important approaches in recent years is the effective use of the workforce and the effective use of human resources in order to achieve efficiency.Different in industry for production environments, widely parallelized to minimize production time in different production environments machine scheduling problems are used.In this study, it was applied in a defense industry company in Turkey. A multi-criteria mixed integer programming model has been developed for more efficient planning on two identical NC machines.The aim of the model is to minimize the total delay time and total completion time of the jobs.The aim is to ensure that many parts of different projects are correct on the cutting benches minimizing total delay and total completion time according to prioritization and under certain constraints.In addition,an iterative heuristic approach based on a mathematical model has been developed for the problem size for which the mathematical model is not sufficient. The methodology used is to increase the efficiency of the company by improving the total time to completion, maximum latency, total latency and number of delayed jobs.",A Multiple Criteria Mixed Integer for the Parallel Machine Scheduling Problem Programming Model - Common Sourcing,[62307],653,"[77, 72, 111]",13,Integer Programming for Decision Support,45,9,45,Decision Support Systems,"Tuesday, 12:30-14:00",T,C,12:30,14:00,2024-07-02,30 [building - 324],"['Multi-Objective Decision Making', 'Mathematical Programming', 'Programming, Mixed-Integer']",TC-45
"In 1950, the world’s first OR journal, the Operational Research Quarterly, was published.  Hence, 2004 sees the 75th volume of, what is now, the Journal of the Operational Research Society.  This talk will discuss the origin of the journal, and changes in editor, frequency, publisher and content during these 75 years.  A current editor-in-chief will discuss JORS' 75th volume and future plans.",75 years of the world’s first OR journal,"[5870, 61687]",454,"[88, 106]",17,Moments in the history of OR  2,27,14,20,Moments in the history of OR,"Wednesday, 12:30-14:00",W,C,12:30,14:00,2024-07-03,45 [building - 116],"['OR History', 'Profession of OR']",WC-20
"The talk is devoted to the optimal transport on irreversible metric spaces. While the compact setting is mostly similar to the reversible case developed by J. Lott, K.-T. Sturm and C. Villani, the noncompact case provides various surprising phenomena. Since the reversibility of noncompact irreversible spaces might be infinite, it is motivated to introduce a suitable nondecreasing function that bounds the reversibility of larger and larger balls. By this approach, we are able to prove satisfactory convergence/stability results in a suitable – reversibility depending – Gromov-Hausdorff topology. A wide class of irreversible spaces is provided by Finsler manifolds, which serve to construct various model examples by pointing out genuine differences between the reversible and irreversible settings. It is a joint work with Alexandru Kristaly.",Convergence and stability of optimal transport on irreversible metric spaces,[75642],86,"[81, 0]",19,Optimization on Geodesic Metric Spaces II - Nonsmooth case,69,7,41,Optimization on Geodesic Metric Spaces - Smooth and Nonsmooth,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,97 [building - 306],['Non-smooth Optimization'],TA-41
" Sparsity is a highly desired feature in deep neural networks [DNNs] since it ensures numerical efficiency, improves the interpretability of models [due to the smaller number of relevant features], and robustness. In machine learning approaches based on linear models, it is well known that there exists a connecting path between the sparsest solution in terms of the L1 norm [i.e., zero weights] and the non-regularized solution, which is called the regularization path. Very recently, there was a first attempt to extend the concept of regularization paths to DNNs by means of treating the empirical loss and sparsity [L1 norm] as two conflicting criteria and solving the resulting multiobjective optimization problem. However, due to the non-smoothness of the L1 norm and the high number of parameters, this approach is not very efficient from a computational perspective. To overcome this limitation, we present an algorithm that allows for the approximation of the entire Pareto front for the above-mentioned objectives in a very efficient manner. We present numerical examples using both deterministic and stochastic gradients. We furthermore demonstrate that knowledge of the regularization path allows for a well-generalizing network parametrization. ",A multiobjective continuation method to compute the regularization path of deep neural networks,"[75646, 69711]",87,"[81, 66, 5]",20,Advances in Continuous Multiobjective Optimization,34,8,37,Multiobjective Optimization,"Tuesday, 10:30-12:00",T,B,10:30,12:00,2024-07-02,33 [building - 306],"['Non-smooth Optimization', 'Machine Learning', 'Algorithms']",TB-37
"This study proposes a novel robust version of berth and quay crane allocation and scheduling problem integrated with a quay crane worker assignment problem. To align with on-field data, we consider in this version that the processing rates of the quay cranes workers is not deterministic, but subject to uncertainties. The uncertainty of this parameter is addressed using robust optimization, by considering an uncertainty set of scenarios. A novel two-stage mixed integer linear programming model is proposed to minimize the worst-case tardiness of vessels and find the worst-case scenario from the uncertainty set. The model is first tested using a commercial solver, but it could not be solved, even for small instances. Thus, as we noticed that the problem has a decomposable structure, we developed an exact decomposition algorithm that splits the model into a master problem and a set of subproblems to alleviate the complexity. We also strengthened the algorithm by introducing novel [re]formulation enhancement, valid inequalities and lower bounds. To assess the performance of the proposed algorithm, we conducted a series of computational experiments on a dataset of instances designed from a real-case database of a container terminal. Also, we performed a sensitivity analysis to evaluate the value of considering a robust version of the model compared to a non-robust version.",A novel robust exact decomposition algorithm for berth and quay crane allocation and scheduling problem considering uncertainty in worker productivity,"[75644, 58796, 75647]",82,"[70, 127, 129]",23,Seaside Planning III,52,7,62,OR in Port Operations,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,S12 [building - 101],"['Maritime applications', 'Robust Optimization', 'Scheduling']",TA-62
